date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200416,AK,300.0,8435.0,,,35.0,,,,,110.0,42353f78693987154276c7c482342a46ec11c180,2020-04-16T20:00:00Z,9.0,35.0,8735.0,8735.0,8735.0,02,0.0,1.0,64.0,7.0,71.0
20200416,AL,4345.0,32046.0,,,553.0,,227.0,,137.0,,bc8d87a6ade709e9ed0c8824e73dff454277a85f,2020-04-16T20:00:00Z,133.0,553.0,36391.0,36391.0,36391.0,01,12.0,28.0,2082.0,232.0,2314.0
20200416,AR,1620.0,21055.0,,85.0,,,,21.0,,548.0,95e15a426548163accca607e39e7c97a7e229f6e,2020-04-16T20:00:00Z,37.0,,22675.0,22675.0,22675.0,05,4.0,0.0,790.0,51.0,841.0
20200416,AS,0.0,3.0,17.0,,,,,,,,614a57a963d84c55c40b863aaf08221f68f0387c,2020-04-16T20:00:00Z,,,20.0,3.0,3.0,60,0.0,0.0,0.0,0.0,0.0
20200416,AZ,4234.0,43164.0,,578.0,,278.0,,188.0,,460.0,1a168d4509dfc562564670fbcf91399c32b0981a,2020-04-16T20:00:00Z,150.0,,47398.0,47398.0,47398.0,04,8.0,0.0,1816.0,272.0,2088.0
20200416,CA,26182.0,220218.0,13200.0,5031.0,,1568.0,,,,,5dcfd2b30974d93b8a73329bff070f19d3c6b04f,2020-04-16T20:00:00Z,890.0,,259600.0,246400.0,246400.0,06,69.0,0.0,28156.0,1758.0,29914.0
20200416,CO,8280.0,32253.0,,,1636.0,,,,,,911828248f6ff1d44d2064ff2e35a453a2bb543e,2020-04-16T20:00:00Z,357.0,1636.0,40533.0,40533.0,40533.0,08,28.0,80.0,614.0,339.0,953.0
20200416,CT,15884.0,37238.0,,1926.0,,,,,,,1bb94dbdf022f3759ed20948cdbc345e04c11271,2020-04-16T20:00:00Z,971.0,,53122.0,53122.0,53122.0,09,103.0,0.0,1850.0,1129.0,2979.0
20200416,DC,2350.0,9800.0,,313.0,,105.0,,79.0,,552.0,100abd89bf88d9f88b0684c7fd04cc5c47fdbb60,2020-04-16T20:00:00Z,81.0,,12150.0,12150.0,12150.0,11,9.0,0.0,472.0,153.0,625.0
20200416,DE,2075.0,11275.0,,209.0,,,,,,378.0,dd363b6c3c0463e2a6e649df8585db9df967656e,2020-04-16T20:00:00Z,52.0,,13350.0,13350.0,13350.0,10,6.0,0.0,187.0,61.0,248.0
20200416,FL,22897.0,196351.0,1325.0,,3460.0,,,,,,06c954c644a662900c772814ef2f221fa53f2cfb,2020-04-16T20:00:00Z,646.0,3460.0,220573.0,219248.0,219248.0,12,37.0,116.0,5353.0,386.0,5739.0
20200416,GA,15669.0,52270.0,,,3108.0,,,,,,8aaf9eeaa61c479d5fbdec370b859848240cbb24,2020-04-16T20:00:00Z,587.0,3108.0,67939.0,67939.0,67939.0,13,35.0,186.0,3167.0,682.0,3849.0
20200416,GU,135.0,870.0,,9.0,,,,,,86.0,0107b4ce28700584446b713b915b5f313941df7f,2020-04-16T20:00:00Z,5.0,,1005.0,1005.0,1005.0,66,0.0,0.0,27.0,0.0,27.0
